job_id,profile,confidence,rationale
1019,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on traditional C++ software engineering tasks related to NX CAM software. While it mentions 'AI', it lacks specific details on AI model development, generative models, or MLOps, making it difficult to classify as an ML or GenAI Engineer role."
102,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on traditional backend software engineering for cloud-native environments and distributed systems, with a mention of LLM applications but no deep involvement in generative AI model development or fine-tuning. The core responsibilities and technologies described align more with a general backend role than a specialized GenAI Engineer."
1020,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on traditional C++ software engineering and NX CAM software development. While 'AI' is mentioned in the title, the core responsibilities and tasks described do not involve building, fine-tuning, or deploying AI models or generative systems. The role appears to be primarily focused on software development with a potential integration of AI tools rather than a core AI engineering role."
1021,Ambiguous / Not Relevant,1.0,"The job description is too brief and lacks sufficient technical detail to classify it into a specific AI-related role. It does not mention any specific AI tasks, models, frameworks, or technologies required."
1022,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on traditional C++ software engineering for a specific product (NX CAM) and lacks any mention of AI, machine learning, or generative models. The tasks described are standard software development activities, not related to AI model development or deployment."
1023,Ambiguous / Not Relevant,1.0,"The job description focuses heavily on traditional C++ software engineering for a specific product (NX CAM) and does not mention any AI, machine learning, or generative AI technologies or concepts. Therefore, it does not fit the profiles of ML Engineer or GenAI Engineer."
1024,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on traditional C++ software engineering for a specific product (NX CAM) and does not mention any AI, ML, or generative models. The tasks described are standard software development activities, not related to AI/ML model development or deployment."
1025,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on traditional C++ software engineering for a specific product (NX CAM) and does not mention any AI, ML, or generative models. The tasks described are standard software development activities, not related to AI model development or deployment."
1026,GenAI Engineer,5.0,"The job description heavily emphasizes generative AI, LLMs, RAG, and agentic frameworks like LangChain. It also requires building and maintaining application systems utilizing AI, aligning with the core responsibilities of a GenAI Engineer focused on user-facing applications."
1027,GenAI Engineer,4.0,"The job description heavily emphasizes the application and development of generative AI technologies, including LLMs, RAG, and agents. While it includes software development and MLOps, the core focus is on building user-facing applications powered by generative models, aligning with the GenAI Engineer profile."
1028,GenAI Engineer,4.0,"The role heavily emphasizes building AI-centric products, utilizing generative AI, LLMs, RAG, and agents. While it involves software development and some data pipelines, the core focus is on applying and developing generative AI solutions, aligning with the GenAI Engineer profile."
1029,ML Engineer,4.0,"The role emphasizes building and deploying predictive models for tasks like anomaly detection and classification, alongside MLOps practices. While generative AI is mentioned, the core focus and breadth of responsibilities lean more towards traditional ML engineering and productionizing models."
103,Ambiguous / Not Relevant,2.0,"The job description focuses on supporting researchers with computational tools and developing a specific research platform, rather than building and deploying production-grade AI systems. While it involves programming and data handling, it lacks the core elements of ML model development, GenAI specialization, or MLOps typically found in ML or GenAI Engineer roles."
1030,ML Engineer,4.0,"The job description heavily emphasizes developing predictive models, analyzing complex data using machine learning and deep learning, and building end-to-end solutions for production. This aligns directly with the core responsibilities and evidence profile of an ML Engineer focused on predictive modeling and MLOps."
1031,nan,,
1032,nan,,
1033,GenAI Engineer,4.0,"The role emphasizes leveraging Large Language Models (LLMs) and data analysis to understand customer service requests and prototype ML models for diagnostics. This aligns with the GenAI Engineer profile's focus on generative models and building applications around them, rather than purely predictive modeling."
1034,GenAI Engineer,4.0,"The role emphasizes developing and integrating generative AI solutions, including experience with LLMs and NLP. While it involves Python development and database work, the core focus is on building functionalities around AI, aligning with the GenAI Engineer profile."
1035,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on traditional software development using Python and databases, with no mention of AI/ML specific tasks, models, or frameworks. While the company's product is AI-based, the role itself appears to be a general backend developer position."
1036,GenAI Engineer,4.0,"The job description emphasizes developing web applications for data analysis and specifically mentions setting up Kubernetes for LLM deployment. This aligns with the GenAI Engineer profile's focus on building and deploying applications around generative models, including the necessary infrastructure."
1037,ML Engineer,4.0,"The role emphasizes designing, developing, and productionizing machine learning systems for complex business problems, aligning with the core responsibilities of an ML Engineer. While Generative AI is mentioned as an area of expertise, the primary focus remains on broader ML system development and end-to-end integration, rather than solely on generative models."
1038,ML Engineer,4.0,"The role emphasizes developing and operating security services and frameworks, architecting scalable systems, and implementing industry-leading security solutions. While ML/GenAI is mentioned as a backing technology, the core focus is on threat detection, analysis, and mitigation, aligning with predictive modeling and MLOps principles characteristic of an ML Engineer."
1039,Ambiguous / Not Relevant,2.0,"The job title and description are too vague to definitively classify. While it mentions 'ML Platform', it explicitly states 'ML background is not required' and focuses on backend software engineering, which could encompass many areas beyond specialized AI/ML roles."
104,ML Engineer,4.0,"The role focuses heavily on building and standardizing model development experiences for ML Engineers and Data Scientists, including feature engineering, training, serving, and ML-Ops. While generative AI is mentioned as an extension, the core emphasis remains on traditional ML model development and productionization within a platform context."
1040,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on traditional DevOps responsibilities like infrastructure management, CI/CD pipelines, and security, with only a tangential mention of AI/GenAI tools. It lacks the core focus on building, fine-tuning, or deploying generative models required for an ML or GenAI Engineer role."
1041,nan,,
1042,GenAI Engineer,4.0,"The job description heavily emphasizes generative AI models, prompt engineering, and developing AI-driven solutions. While it mentions 'machine learning', the core focus is on leveraging and optimizing generative models for business applications, aligning with the GenAI Engineer profile."
1043,Ambiguous / Not Relevant,2.0,"The role focuses heavily on cloud infrastructure management (Azure, M365) and IT operations, with AI tooling mentioned as a secondary aspect. It lacks the core responsibilities and deep focus on generative models or predictive modeling required for ML or GenAI Engineer profiles."
1044,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on traditional backend development tasks such as API integration, microservices, CI/CD, and automated testing. While it mentions 'AI messaging systems' and the 'AI industry', it lacks specific details about developing, fine-tuning, or deploying AI models, which are core to ML or GenAI Engineer roles."
1045,Ambiguous / Not Relevant,2.0,"The job description focuses on general software engineering principles and involvement in development processes from concept to production. It lacks specific mentions of AI, machine learning, generative models, or related technologies, making it difficult to classify into a specialized AI role."
1046,GenAI Engineer,4.0,"The job description emphasizes building AI applications using generative techniques like RAG and Agentic Frameworks, aligning strongly with the GenAI Engineer profile. The role requires a full-stack approach, connecting business needs with AI solutions and developing user-facing applications."
1047,nan,,
1048,nan,,
1049,nan,,
105,ML Engineer,4.0,"The job description heavily emphasizes building and standardizing model development experiences for ML Engineers and Data Scientists, focusing on the entire ML lifecycle from feature engineering to serving and MLOps. While generative AI is mentioned as an extension, the core focus remains on traditional ML model development and productionization within a platform context."
1050,nan,,
1051,ML Engineer,4.0,"The job description heavily emphasizes core machine learning engineering tasks such as algorithm development, data pipelines, model training, evaluation, and productionization using MLOps principles. While Generative AI is mentioned as an emerging technology, the primary focus remains on traditional ML model development and deployment."
1052,Ambiguous / Not Relevant,2.0,"The job description focuses on using no-code tools and integrating AI for efficiency, rather than developing AI models or systems. The core tasks involve workflow automation and application building with existing tools, not core AI engineering."
1053,GenAI Engineer,5.0,"The job description heavily emphasizes the development and deployment of applications built on generative models, including LLMs, voice APIs, and image recognition. It specifically mentions core GenAI responsibilities like fine-tuning language models, using frameworks like LangChain and LangGraph, and building agentic systems, aligning perfectly with the GenAI Engineer profile."
1054,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on backend development, application maintenance, and integrating with existing systems, rather than core AI model development or generative AI applications. While it mentions learning about AI, the primary responsibilities do not align with the core tasks of an ML Engineer or GenAI Engineer."
1055,nan,,
1056,nan,,
1057,GenAI Engineer,4.0,"The role heavily emphasizes prompt engineering, fine-tuning LLMs, and developing AI-driven solutions using generative models. This aligns directly with the core responsibilities of a GenAI Engineer, focusing on language models and their application in user-facing systems."
1058,nan,,
1059,ML Engineer,4.0,"The job description emphasizes core ML engineering tasks such as working with AI/ML toolkits, understanding mathematical foundations of ML algorithms, and building/maintaining RESTful ML model APIs. While it mentions working with junior developers and client interaction, the primary focus remains on the technical implementation and operationalization of ML models."
106,Ambiguous / Not Relevant,2.0,"The job description focuses on data engineering tasks within a research project, but lacks specific details on AI/ML model development or deployment. It appears to be more of a traditional data engineering or systems administration role within a research context rather than a dedicated AI/ML engineering position."
1060,nan,,
1061,GenAI Engineer,4.0,"The job description heavily emphasizes building and maintaining an MLOps platform used for production-grade data science solutions, including LLM services. It also mentions applying new AWS features and setting up data pipelines, aligning with the core responsibilities of a GenAI Engineer focused on productionizing and operationalizing generative AI models."
1062,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on traditional backend development, application maintenance, and integration with existing systems like a Data Warehouse. While it mentions speech analytics, there's no indication of building, fine-tuning, or deploying generative AI models, which is the core of a GenAI Engineer role."
1063,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on traditional backend development, application maintenance, and integration with existing systems like a Data Warehouse. While it mentions 'Speech Analytics', it lacks any specific details about AI/ML model development, generative AI, or advanced data science techniques, making it not a fit for ML Engineer or GenAI Engineer."
1064,Ambiguous / Not Relevant,1.0,"The job description focuses on Azure infrastructure and cloud engineering, not on AI or machine learning model development. It lacks specific tasks or technologies related to ML/GenAI, making it irrelevant to the ML Engineer or GenAI Engineer profiles."
1065,Ambiguous / Not Relevant,1.0,"The job description is too brief and lacks specific details about tasks, technologies, or responsibilities. It does not provide enough information to classify it into a specific AI engineering role."
1066,Ambiguous / Not Relevant,2.0,"The job description focuses on building and scaling custom applications using a platform, with a mention of GenAI solutions. However, it lacks specific details on core AI/ML tasks like model development, data engineering, or MLOps, leaning more towards general software development and platform building."
1067,nan,,
1068,Ambiguous / Not Relevant,2.0,"The job description mentions ""machine learning"" and ""GenAI technologies"" but focuses heavily on general software development, prototyping, and customer collaboration within the AWS ecosystem. It lacks specific details on core ML/GenAI tasks like model training, fine-tuning, or advanced generative model development, making it lean towards a general software engineering role."
1069,GenAI Engineer,4.0,"The job description emphasizes implementing and applying LLMs and AI-based technologies to create 'Digital Hosts', specifically mentioning fine-tuning performance and working with streaming data. This aligns strongly with the core responsibilities of a GenAI Engineer focused on building user-facing applications powered by generative models."
107,nan,,
1070,GenAI Engineer,4.0,"The role focuses on integrating AI models and algorithms into .NET applications, emphasizing building and optimizing AI-powered services. While it involves .NET development, the core is applying AI, particularly through collaboration with AI researchers and ensuring seamless integration of AI models, aligning with the GenAI Engineer profile's focus on developing user-facing systems powered by AI."
1071,GenAI Engineer,4.0,"The role heavily emphasizes integrating and deploying AI models, specifically LLMs and OpenAI services, into .NET applications. It involves building user-facing systems, prompt engineering, and staying updated with GenAI advancements, aligning with the core responsibilities of a GenAI Engineer."
1072,nan,,
1073,nan,,
1074,ML Engineer,3.0,"The job title explicitly states 'Machine Learning Engineer'. While the description is minimal, the core focus implied by the title aligns with the 'ML Engineer' profile, emphasizing predictive modeling and algorithm development over generative AI applications."
1075,GenAI Engineer,4.0,"The role emphasizes designing and developing backend infrastructure for integrating AI solutions into enterprise workflows, focusing on data processing, secure storage, and model deployment. This aligns with building production-grade user-facing systems and integrating AI models, which are core to the GenAI Engineer profile."
1076,nan,,
1077,nan,,
1078,ML Engineer,4.0,"The job description emphasizes data preparation, model development, algorithm selection, and optimization, which are core to ML Engineering. While it mentions AI technologies, the focus is on building and optimizing predictive models rather than developing user-facing applications with generative AI."
1079,ML Engineer,4.0,"The role emphasizes building and maintaining CI/CD pipelines for AI applications, monitoring programs across environments, and working with data engineers and scientists. While it mentions AI, the core focus on platform engineering, DevOps, and supporting existing software solutions aligns more closely with an ML Engineer's operational and productionization responsibilities."
108,nan,,
1080,GenAI Engineer,4.0,"The role focuses on developing conversational AI applications using Generative AI, including improving voicebots with NLP and GenAI features. It emphasizes building and deploying user-facing systems, aligning with the core responsibilities of a GenAI Engineer."
1081,GenAI Engineer,3.0,"The job title explicitly mentions 'GenAI Engineer' and the description, though brief, implies a focus on generative AI technologies. While specific tasks are not detailed, the role is positioned within the GenAI domain, suggesting a focus on developing and deploying AI-powered applications."
1082,GenAI Engineer,3.0,"The job title explicitly mentions 'GenAI Engineer' and the description implies a focus on developing and deploying AI-driven applications. While specific tasks are not detailed, the combination of 'Dev Ops' and 'GenAI' strongly suggests a role centered around building and maintaining production-grade generative AI systems."
1083,GenAI Engineer,,
1084,GenAI Engineer,4.0,"The job description heavily emphasizes the development and deployment of applications built on large language models (LLMs) and state-of-the-art AI technologies like GPT-4 Vision. Core responsibilities include creating autonomous support platforms, integrating AI, and enhancing AI solutions across infrastructures, aligning directly with the definition and responsibilities of a GenAI Engineer."
1085,GenAI Engineer,4.0,"The job description heavily emphasizes building and improving autonomous support platforms using LLMs, integrating state-of-the-art AI technologies like GPT-4 Vision, and enhancing AI solutions across infrastructures. This aligns directly with the core responsibilities and typical projects of a GenAI Engineer focused on language, vision, and interaction."
1086,GenAI Engineer,4.0,"The job description heavily emphasizes the development and deployment of applications built on large language models (LLMs) and other generative AI technologies. Key responsibilities include creating autonomous support platforms, integrating state-of-the-art AI like GPT-4 Vision, and enhancing AI solutions, aligning directly with the core functions of a GenAI Engineer."
1087,GenAI Engineer,5.0,"The job description heavily emphasizes the use of LLMs for creating autonomous support platforms, integrating state-of-the-art AI like GPT-4 Vision, and enhancing AI solutions. This aligns directly with the core responsibilities and typical projects of a GenAI Engineer focused on language, vision, and interaction."
1088,GenAI Engineer,,
1089,GenAI Engineer,4.0,"The job description heavily emphasizes the development and deployment of applications built on large language models (LLMs) and other generative AI technologies. Key responsibilities include creating autonomous support platforms using LLMs, integrating state-of-the-art AI like GPT-4 Vision, and enhancing AI solutions across infrastructures like AWS, aligning directly with the core responsibilities of a GenAI Engineer."
109,nan,,
1090,nan,,
1091,GenAI Engineer,5.0,"The job description heavily emphasizes the development and deployment of applications built on large language models (LLMs) and state-of-the-art AI technologies like GPT-4 Vision. Core responsibilities include creating autonomous support platforms, integrating AI solutions, and improving user-facing systems, aligning directly with the definition of a GenAI Engineer."
1092,GenAI Engineer,4.0,"The job description heavily emphasizes the development and deployment of applications built on large language models (LLMs) and other generative AI technologies. It specifically mentions creating autonomous support platforms, integrating state-of-the-art AI like GPT-4 Vision, and enhancing AI solutions across infrastructures, aligning directly with the core responsibilities of a GenAI Engineer."
1093,GenAI Engineer,4.0,"The job description heavily emphasizes the development and deployment of applications built on large language models (LLMs) and AI technologies like GPT-4 Vision. It involves building user-facing platforms, integrating AI into workflows, and maintaining these systems, aligning directly with the core responsibilities of a GenAI Engineer."
1094,GenAI Engineer,5.0,"The job description heavily emphasizes the development and deployment of applications built on large language models (LLMs) and generative AI technologies. Core responsibilities include creating autonomous support platforms using LLMs, integrating state-of-the-art AI like GPT-4 Vision, and enhancing AI solutions across infrastructures like AWS, aligning directly with the definition and responsibilities of a GenAI Engineer."
1095,GenAI Engineer,5.0,"The job description heavily emphasizes building and improving autonomous support platforms using LLMs, integrating state-of-the-art AI technologies like GPT-4 Vision, and enhancing AI solutions across infrastructures like AWS. This aligns directly with the core responsibilities and typical projects of a GenAI Engineer focused on language, vision, and interaction specialists."
1096,nan,,
1097,Ambiguous / Not Relevant,2.0,"The job description focuses on using AI tools to enhance productivity and optimize existing processes rather than building or developing AI models or systems from scratch. While it mentions 'AI System Building', the context suggests configuration and management of AI-driven systems rather than core AI engineering."
1098,Ambiguous / Not Relevant,2.0,"The job description focuses on using AI tools to enhance operational efficiency and automate tasks rather than building or developing AI models or systems. It emphasizes application support and system configuration with AI tools, aligning more with a user or administrator role of AI rather than a developer or engineer."
1099,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on the application and optimization of existing AI tools for operational efficiency rather than the development, fine-tuning, or deep technical implementation of AI models themselves. While it mentions 'AI System Building', the context suggests using AI tools to enhance existing processes rather than creating novel AI solutions."
11,nan,,
110,ML Engineer,4.0,"The job title explicitly states 'ML Engineer' and the description emphasizes building and deploying recommendation systems, which are core to predictive modeling. While generative AI might be involved, the primary focus is on traditional ML tasks like model training, evaluation, and productionization."
1100,Ambiguous / Not Relevant,2.0,"The job description focuses on using AI tools to enhance productivity and automate tasks within a support engineering context, rather than building or developing AI models or systems. It lacks the core responsibilities and technical depth associated with ML or GenAI engineering roles."
1101,Ambiguous / Not Relevant,2.0,"The job description focuses on using AI tools to enhance operational efficiency and automate tasks rather than developing or engineering AI models. While it mentions 'AI System Building', the context suggests configuration and management of existing AI-driven systems, not core AI development."
1102,nan,,
1103,Ambiguous / Not Relevant,2.0,"The job description focuses on using AI tools to enhance productivity and automate tasks within a support engineering context, rather than building or developing AI models or systems. It lacks the core responsibilities and technical depth expected of an ML Engineer or GenAI Engineer."
1104,nan,,
1105,nan,,
1106,Ambiguous / Not Relevant,2.0,"The job description focuses on using AI tools to enhance operational efficiency and automate tasks rather than building or developing AI models or systems. It emphasizes application support and system configuration with AI assistance, aligning more with a user or operator role of AI tools than a developer or engineer."
1107,nan,,
1108,Ambiguous / Not Relevant,2.0,"The job description focuses on using AI tools to enhance productivity and automate tasks rather than building or developing AI models or systems. While it mentions AI-driven systems, the core responsibilities lean towards application support and configuration using these tools, not core AI engineering."
1109,Ambiguous / Not Relevant,2.0,"The job description focuses on using AI tools to enhance productivity and optimize existing processes rather than building, fine-tuning, or deploying AI models. While it mentions 'AI System Building', the context suggests configuration and management of AI-driven systems rather than core AI development."
111,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on front-end development for a conversational search product that *uses* generative AI. However, it lacks details on building, fine-tuning, or deploying the AI models themselves, which are core to GenAI or ML Engineer roles. The primary focus remains on user interface and user experience development."
1110,nan,,
1111,nan,,
1112,Ambiguous / Not Relevant,2.0,"The job description focuses on using AI tools to enhance productivity and automate tasks within a support engineering context, rather than building or developing AI models or systems. It lacks the core responsibilities and technical depth expected of an ML Engineer or GenAI Engineer."
1113,nan,,
1114,Ambiguous / Not Relevant,2.0,"The job description focuses on using and improving existing AI systems for customer support rather than developing or engineering AI models. While there's mention of 'AI Training and Improvement' and 'fine-tuning sessions', the core responsibilities revolve around analyzing tickets and providing feedback, which leans more towards AI utilization than core AI engineering."
1115,Ambiguous / Not Relevant,2.0,"The job description focuses on using and improving existing AI systems for customer support rather than developing or engineering AI models. While it mentions AI training and fine-tuning, the core responsibilities are application support and integrating human expertise with AI, not core AI development."
1116,Ambiguous / Not Relevant,2.0,"The job description focuses on using and improving existing AI systems for customer support rather than developing or engineering AI models. While it mentions AI training and fine-tuning, the core responsibilities are application support and integrating human expertise with AI, which aligns more with a user or operator role than a core AI engineering role."
1117,nan,,
1118,Ambiguous / Not Relevant,2.0,"The job description focuses on using and improving existing AI systems for customer support rather than developing or engineering AI models from scratch. While it involves AI, it leans towards application support and feedback rather than core AI development or engineering."
1119,Ambiguous / Not Relevant,2.0,"The job description focuses on using and improving existing AI systems for customer support rather than developing or engineering AI models. While it mentions AI training and fine-tuning, the core responsibilities are application support and integrating human expertise with AI, not core AI development."
112,GenAI Engineer,4.0,"The job description emphasizes implementing GenAI solutions and fine-tuning high-level solutions for rapid delivery. While 'Big Data Engineer' is in the title, the core tasks described align more with building and deploying generative AI applications rather than traditional data engineering."
1120,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on using and improving existing AI systems for customer support rather than developing new AI models or applications. While it mentions AI integration and fine-tuning, the core responsibilities are centered around application support and problem-solving within an AI-augmented workflow, not core AI engineering."
1121,Ambiguous / Not Relevant,2.0,"The job description focuses on using and improving AI tools for customer support rather than developing or engineering AI models. While it mentions 'AI Training and Improvement' and 'AI model fine-tuning sessions', the core responsibilities revolve around supporting existing AI systems and integrating human expertise, which aligns more with an application support role than a dedicated AI engineering position."
1122,Ambiguous / Not Relevant,2.0,"The job description focuses on using and improving existing AI systems for customer support rather than developing or engineering AI models. While it mentions AI training and fine-tuning, the core responsibilities are application support and integrating human expertise with AI, not core AI development."
1123,Ambiguous / Not Relevant,2.0,"The job description focuses on supporting and improving existing AI systems rather than developing or engineering them. While it involves interacting with AI, it lacks the core responsibilities of building, training, or deploying AI models or applications."
1124,Ambiguous / Not Relevant,2.0,"The job description focuses on using and improving existing AI systems for customer support rather than developing or engineering AI models. While it mentions AI training and fine-tuning, the core responsibilities are application support and integrating human expertise with AI, not core AI development."
1125,Ambiguous / Not Relevant,2.0,"The job description focuses on using and improving existing AI systems for customer support rather than developing or engineering AI models. While it mentions AI training and fine-tuning, the core responsibilities are application support and integrating human expertise with AI, not core AI development."
1126,nan,,
1127,nan,,
1128,GenAI Engineer,4.0,"The role heavily emphasizes working with LLMs like GPT-4 and Claude to create autonomous tools and interactive features, aligning with the core responsibilities of a GenAI Engineer. The focus on developing user-facing AI-powered web applications, integrating front-end and back-end, and driving projects from conception to launch further supports this classification."
1129,GenAI Engineer,4.0,"The role heavily emphasizes building user-facing applications integrating LLMs like GPT-4 or Claude, focusing on prompt engineering, RAG, and developing autonomous tools. This aligns directly with the core responsibilities of a GenAI Engineer, particularly in creating AI-powered web applications and interactive features."
113,Ambiguous / Not Relevant,5.0,"The job title 'Field Service Engineer' does not inherently suggest a role focused on AI development or engineering. The provided job description is too brief to extract any specific technical tasks, tools, or skills related to AI, machine learning, or generative AI."
1130,GenAI Engineer,4.0,"The role heavily emphasizes building user-facing applications integrating LLMs like GPT-4 or Claude, focusing on prompt engineering, RAG, and developing autonomous tools. It requires full-stack development to deploy these AI features into production-grade systems, aligning with the GenAI Engineer profile."
1131,nan,,
1132,nan,,
1133,nan,,
1134,GenAI Engineer,4.0,"The job description heavily emphasizes building user-facing applications powered by generative AI, including prompt engineering, fine-tuning, and integrating AI into full-stack products. The focus on end-to-end product lifecycle and creating novel educational experiences with LLMs aligns directly with the GenAI Engineer profile."
1135,GenAI Engineer,4.0,"The job description heavily emphasizes building user-facing applications powered by generative AI, including prompt engineering, fine-tuning, and integrating AI into full-stack products. The focus on end-to-end product lifecycle and creating novel educational experiences with LLMs aligns strongly with the GenAI Engineer profile."
1136,GenAI Engineer,4.0,"The role heavily emphasizes building user-facing applications integrating LLMs like GPT-4 or Claude, focusing on prompt engineering, RAG, and developing autonomous tools. It requires full-stack development to deploy these GenAI features into production-grade systems."
1137,GenAI Engineer,4.0,"The role heavily emphasizes building user-facing applications integrating LLMs like GPT-4 and Claude, focusing on prompt engineering, RAG, and developing autonomous tools. This aligns directly with the core responsibilities of a GenAI Engineer, particularly in creating educational technology."
1138,nan,,
1139,nan,,
114,nan,,
1140,GenAI Engineer,4.0,"The role heavily emphasizes building user-facing applications integrating LLMs like GPT-4 or Claude, focusing on prompt engineering, RAG, and developing autonomous tools. This aligns directly with the core responsibilities of a GenAI Engineer, particularly in creating interactive features and AI-powered web applications."
1141,nan,,
1142,GenAI Engineer,4.0,"The role heavily emphasizes building user-facing applications integrating LLMs like GPT-4 and Claude, focusing on prompt engineering, RAG, and developing autonomous tools. This aligns directly with the core responsibilities of a GenAI Engineer, particularly in developing and deploying AI-powered web applications."
1143,GenAI Engineer,4.0,"The job description heavily emphasizes designing and building AI automations using state-of-the-art tools like GPT-4 Vision, integrating them into developmental processes, and deploying fully-automated AI systems. This aligns with the core responsibilities of a GenAI Engineer focused on generative models and their application in user-facing or process-streamlining systems."
1144,nan,,
1145,GenAI Engineer,4.0,"The job description emphasizes designing and building AI automations using state-of-the-art tools like GPT-4 Vision, integrating them into development processes, and deploying fully-automated AI systems. This aligns strongly with the core responsibilities of a GenAI Engineer focused on generative models and application development."
1146,GenAI Engineer,4.0,"The job description heavily emphasizes building applications and features using generative AI, LLMs, and RAG approaches. It details specific projects involving AI integration, prompt engineering, and developing AI-driven solutions, aligning directly with the core responsibilities of a GenAI Engineer."
1147,nan,,
1148,GenAI Engineer,4.0,"The job description heavily emphasizes building applications using generative AI, LLMs, and RAG systems, aligning with the core responsibilities of a GenAI Engineer. It also involves significant software development and MLOps for productionizing these AI features."
1149,GenAI Engineer,4.0,"The job description heavily emphasizes building applications using generative AI, LLMs, and RAG systems, aligning with the core responsibilities of a GenAI Engineer. It also includes significant software development and MLOps components required to deploy these AI-driven features into production."
